Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AXAS,Abraxas Petroleum Corporation,2.53,"341,803,000",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
AE,"Adams Resources & Energy, Inc.",39.97,"168,577,312",n/a,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
AAV,Advantage Oil & Gas Ltd,6.5,"1,200,253,165",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
ANW,Aegean Marine Petroleum Network Inc.,10.8,"425,561,278",n/a,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw
AHGP,"Alliance Holdings GP, L.P.",29.01,"1,736,625,630",n/a,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp
ARLP,"Alliance Resource Partners, L.P.",24.35,"1,811,031,859",n/a,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp
ALJ,"Alon USA Energy, Inc.",11.71,"838,339,603",n/a,2005,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/alj
ALDW,"Alon USA Partners, LP",10.15,"634,580,233",n/a,2012,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/aldw
AETI,"American Electric Technologies, Inc.",1.9,"15,838,339",n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti
AEUA,Anadarko Petroleum Corporation,44,0,n/a,2015,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aeua
APC,Anadarko Petroleum Corporation,70.01,"39,128,651,799",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apc
AR,Antero Resources Corporation,25.84,"8,112,139,806",n/a,2013,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ar
APA,Apache Corporation,62.08,"23,554,973,055",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apa
AREX,Approach Resources Inc.,3.28,"137,657,159",n/a,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/arex
ARCX,Arc Logistic Partners LP,16.1,"310,770,121",n/a,2013,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/arcx
ARCH,"Arch Coal, Inc.",73.65,"1,841,202,717",n/a,2016,Energy,Coal Mining,http://www.nasdaq.com/symbol/arch
AT,Atlantic Power Corporation,2.3,"263,694,742",n/a,n/a,Energy,Electric Utilities: Central,http://www.nasdaq.com/symbol/at
ATW,"Atwood Oceanics, Inc.",13.22,"858,562,218",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/atw
BHI,Baker Hughes Incorporated,63.09,"26,674,075,163",n/a,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/bhi
BLDP,"Ballard Power Systems, Inc.",1.92,"335,519,290",n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bldp
BRN,"Barnwell Industries, Inc.",1.72,"14,236,715",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/brn
BAS,"Basic Energy Services, Inc.",41.87,"1,081,318,751",n/a,2005,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/bas
BTE,Baytex Energy Corp,4.15,"968,813,309",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/bte
BXE,Bellatrix Exploration Ltd,0.8999,"221,902,587",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/bxe
BBL,BHP Billiton plc,36.42,"96,921,686,120",n/a,n/a,Energy,Coal Mining,http://www.nasdaq.com/symbol/bbl
BBG,Bill Barrett Corporation,7.05,"533,852,811",n/a,2004,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/bbg
BSM,"Black Stone Minerals, L.P.",18.45,"3,522,569,737",n/a,2015,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/bsm
BKEP,"Blueknight Energy Partners L.P., L.L.C.",7.45,"283,049,169",n/a,2011,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/bkep
BKEPP,"Blueknight Energy Partners L.P., L.L.C.",8.03,"242,173,711",n/a,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/bkepp
BCEI,"Bonanza Creek Energy, Inc.",2.51,"124,669,255",n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/bcei
BP,BP p.l.c.,36.58,"115,330,176,560",n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/bp
BPT,BP Prudhoe Bay Royalty Trust,32.8,"701,920,000",n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/bpt
BGG,Briggs & Stratton Corporation,20.79,"889,995,513",n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bgg
BC,Brunswick Corporation,58.84,"5,277,330,298",n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bc
BPL,Buckeye Partners L.P.,69.8,"9,787,519,332",n/a,1986,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/bpl
BWXT,"BWX Technologies, Inc.",41.88,"4,155,895,378",n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bwxt
COG,Cabot Oil & Gas Corporation,22.55,"10,489,121,383",n/a,1990,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cog
CRC,California Resources Corporation,21.98,"905,953,507",n/a,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crc
CPE,Callon Petroleum Company,15.62,"3,140,265,418",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cpe
CPE^A,Callon Petroleum Company,53.01,0,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cpe^a
CLMT,"Calumet Specialty Products Partners, L.P.",4.2,"320,808,865",n/a,2006,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/clmt
CEI,"Camber Energy, Inc.",0.8451,"17,772,729",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cei
CNQ,Canadian Natural Resources Limited,30.68,"34,084,022,669",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cnq
CPST,Capstone Turbine Corporation,0.74,"26,407,480",n/a,2000,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cpst
CRZO,"Carrizo Oil & Gas, Inc.",36.37,"2,368,752,459",n/a,1997,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crzo
CVE,Cenovus Energy Inc,13.83,"11,523,087,279",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cve
CDEV,"Centennial Resource Development, Inc.",18.6,"4,324,332,042",n/a,2016,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cdev
CDEVW,"Centennial Resource Development, Inc.",7.2,0,n/a,2016,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cdevw
CGG,CGG,10.74,"237,710,020",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cgg
CHK,Chesapeake Energy Corporation,6.92,"6,140,738,046",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/chk
CHKR,Chesapeake Granite Wash Trust,3.15,"147,262,500",n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/chkr
CVX,Chevron Corporation,113.79,"214,809,270,923",n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cvx
SNP,China Petroleum & Chemical Corporation,80.22,"97,123,324,341",n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/snp
CYD,China Yuchai International Limited,13.88,"545,460,973",n/a,1994,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cyd
XEC,Cimarex Energy Co,139.45,"13,242,754,064",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/xec
